width,height,TimeToBernsen,TimeToNiblack,TimeToSauvola,TimeToOtsu
2479,3542,80836,21387,1722,455
2479,3542,81108,21672,1713,543
2479,3542,82212,21839,1783,485
2479,3542,82010,21004,1716,466
2479,3542,81620,21131,1717,464
2479,3542,81699,21245,1714,548
2479,3542,81969,21504,1730,519
2479,3542,81173,21497,1725,473
2479,3542,81500,21858,1741,487
2479,3542,81460,21945,1725,506
2479,3542,81274,21934,1741,464
2479,3542,82204,21172,1777,467
2479,3542,80530,21126,1773,467
2479,3542,80875,21399,1782,458
2479,3542,84439,21715,1804,475
2479,3542,80686,21199,1725,478
2479,3542,80725,21772,1759,522
2479,3542,81922,21709,1833,488
2479,3542,80284,21863,1721,463
2479,3542,82168,20962,1714,468
2479,3542,81397,21559,1752,472
2479,3542,82700,21496,1762,464
2479,3542,80556,21170,1711,484
2479,3542,81732,21283,1724,516
2479,3542,81735,21813,1766,470
2479,3542,81446,21622,1725,486
2479,3542,81606,22036,1770,461
2479,3542,82494,21018,1716,473
2479,3542,81237,21109,1712,470
2479,3542,83705,21392,1758,496
2479,3542,80493,21060,1720,523
2479,3542,80204,21437,1710,469
2479,3542,86533,22199,1793,496
2479,3542,87039,22222,1821,463
2479,3542,81501,21793,1732,463
2479,3542,80696,20930,1708,471
2479,3542,81008,21179,1714,463
2479,3542,80532,21137,1720,467
2479,3542,82067,21259,1717,460
2479,3542,82155,21506,1760,462
2479,3542,80565,21502,1744,464
2479,3542,81608,21762,1715,474
2479,3542,80252,22020,1725,470
2479,3542,82275,20993,1722,471
2479,3542,80916,21187,1726,490
2479,3542,81934,21289,1745,509
2479,3542,80630,21226,1719,558
2479,3542,80627,21481,1719,463
2479,3542,81618,21593,1716,490
2479,3542,80222,21828,1746,474
2479,3542,80716,21936,1723,463
2479,3542,86406,21823,1786,468
2479,3542,81958,21159,1717,468
2479,3542,87560,21852,1818,462
2479,3542,87702,22180,1818,495
2479,3542,84115,21840,1784,471
2479,3542,88525,22266,1793,470
2479,3542,83208,21867,1805,463
2479,3542,81529,21805,1731,507
2479,3542,82166,20955,1715,467
2479,3542,82134,21093,1714,472
2479,3542,81908,21240,1728,468
2479,3542,82511,21418,1723,474
2479,3542,82892,21563,1721,467
2479,3542,81558,22091,1725,463
2479,3542,82080,21817,1729,485
2479,3542,84483,21675,1736,492
2479,3542,83215,21013,1717,466
2479,3542,82395,21111,1725,482
2479,3542,81767,21192,1721,464
2479,3542,81417,21252,1712,466
2479,3542,81079,21764,1756,473
2479,3542,81475,21823,1767,462
2479,3542,80548,21884,1756,502
2479,3542,80971,21919,1739,491
2479,3542,82022,20938,1711,467
2479,3542,82097,21131,1715,462
2479,3542,81537,21239,1722,475
2479,3542,81470,21323,1727,462
2479,3542,81544,21414,1722,472
2479,3542,80848,21440,1724,480
2479,3542,81046,21666,1711,519
2479,3542,81094,21777,1727,522
2479,3542,81384,20931,1711,477
2479,3542,81837,21086,1714,466
2479,3542,81567,21249,1724,466
2479,3542,81760,21417,1714,469
2479,3542,81484,21359,1738,462
2479,3542,81346,21584,1727,487
2479,3542,81840,21817,1724,516
2479,3542,81374,21969,1725,488
2479,3542,82072,21079,1720,467
2479,3542,82061,21168,1720,483
2479,3542,81663,21240,1721,471
2479,3542,81553,21305,1725,469
2479,3542,81409,21459,1714,462
2479,3542,81166,21487,1726,463
2479,3542,81378,21712,1725,467
2479,3542,81663,20953,1729,467
2479,3542,81392,21075,1711,467
2479,3542,81668,21227,1715,466
2479,3542,81364,21380,1728,471
2479,3542,81161,21365,1724,471
2479,3542,81387,21724,1732,467
2479,3542,81407,21730,1728,466
2479,3542,81494,21914,1729,465
2479,3542,82323,21108,1718,468
2479,3542,81758,21107,1713,475
2479,3542,81700,20704,1718,466
2479,3542,81855,21404,1722,462
2479,3542,80769,21321,1722,505
2479,3542,80272,21655,1728,466
2479,3542,80108,21762,1721,465
2479,3542,80745,21652,1723,462
2479,3542,81272,21875,1720,618
2479,3542,80816,21200,1711,525
2479,3542,81642,21665,1822,461
2479,3542,80469,21647,1717,483
2479,3542,80572,22504,1720,661
2479,3542,81013,21744,1726,484
2479,3542,80278,22133,1878,467
2479,3542,80727,22803,2100,432
2479,3542,82254,20951,1709,468
2479,3542,82514,21134,1711,470
2479,3542,81752,21354,1752,470
2479,3542,81977,21350,1716,464
2479,3542,83400,21470,1722,467
2479,3542,81473,21446,1746,508
2479,3542,82149,21675,1707,473
2479,3542,81901,21810,1722,526
2479,3542,81854,21221,1780,464
2479,3542,81195,21572,1744,463
2479,3542,80642,21196,1716,480
2479,3542,80572,21346,1707,468
2479,3542,80762,21577,1714,482
2479,3542,80942,22227,1727,464
2479,3542,80529,21894,1738,466
2479,3542,80972,20954,1713,486
2479,3542,81456,21125,1713,495
2479,3542,80683,21180,1708,499
2479,3542,80404,21257,1721,468
2479,3542,80958,21650,1776,480
2479,3542,81334,21673,1727,465
2479,3542,80753,21551,1721,462
2479,3542,80737,21860,1726,468
2479,3542,81372,21122,1781,534
2479,3542,80651,21034,1708,465
2479,3542,80489,21217,1718,485
2479,3542,80582,21504,1718,466
2479,3542,80830,21421,1707,463
2479,3542,80320,21416,1719,480
2479,3542,80151,21798,1719,462
2479,3542,82972,21661,1732,462
2479,3542,80815,20940,1710,467
2479,3542,80775,21021,1719,489
2479,3542,81978,21520,1731,540
2479,3542,83777,21932,1773,468
